promptKey,temperature,timesteps,rewards,hitActions,stickActions,randomActions,DateTime
zero_shot_prompt,0.4,3,-1.0,2,1,0,2024-04-17 10:10:26.882325
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-17 10:10:30.256829
zero_shot_prompt,0.4,1,1.0,0,1,0,2024-04-17 10:10:34.234702
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-17 10:10:38.297873
zero_shot_prompt,0.4,2,-1.0,2,0,0,2024-04-17 10:10:45.687693
zero_shot_prompt,0.4,2,-1.0,2,0,0,2024-04-17 10:10:51.193644
zero_shot_prompt,0.4,2,1.0,1,1,0,2024-04-17 10:10:59.500584
zero_shot_prompt,0.4,2,1.0,1,1,0,2024-04-17 10:11:03.561492
zero_shot_prompt,0.4,1,1.0,0,1,0,2024-04-17 10:11:07.246577
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-17 10:11:12.222167
zero_shot_prompt,0.4,1,-1.0,0,1,0,2024-04-17 10:11:15.092435
zero_shot_prompt,0.4,1,-1.0,0,1,0,2024-04-17 10:11:20.974637
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-17 10:11:22.810967
zero_shot_prompt,0.4,1,1.0,0,0,1,2024-04-17 10:11:28.316455
zero_shot_prompt,0.4,1,1.0,0,1,0,2024-04-17 10:11:34.573984
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-17 10:11:36.726040
zero_shot_prompt,0.4,2,-1.0,2,0,0,2024-04-17 10:11:42.815875
zero_shot_prompt,0.4,6,1.0,5,0,1,2024-04-17 10:12:04.826217
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-17 10:12:10.509614
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-17 10:12:16.069694
zero_shot_prompt,0.4,1,-1.0,0,1,0,2024-04-17 10:12:19.256856
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-17 10:12:22.090294
zero_shot_prompt,0.4,2,-1.0,2,0,0,2024-04-17 10:12:29.840511
zero_shot_prompt,0.4,2,-1.0,2,0,0,2024-04-17 10:12:38.901432
zero_shot_prompt,0.4,3,-1.0,3,0,0,2024-04-17 10:12:49.721431
zero_shot_prompt,0.4,2,-1.0,2,0,0,2024-04-17 10:12:57.597555
zero_shot_prompt,0.4,1,1.0,0,1,0,2024-04-17 10:13:00.354253
zero_shot_prompt,0.4,3,-1.0,3,0,0,2024-04-17 10:13:13.874803
zero_shot_prompt,0.4,2,-1.0,2,0,0,2024-04-17 10:13:21.880910
zero_shot_prompt,0.4,2,1.0,1,1,0,2024-04-17 10:13:30.272341
zero_shot_prompt,0.4,1,-1.0,0,1,0,2024-04-17 10:13:33.186477
zero_shot_prompt,0.4,1,1.0,0,1,0,2024-04-17 10:13:35.513273
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-17 10:13:37.948831
zero_shot_prompt,0.4,1,-1.0,0,1,0,2024-04-17 10:13:43.894318
zero_shot_prompt,0.4,2,-1.0,1,1,0,2024-04-17 10:13:51.911396
zero_shot_prompt,0.4,1,1.0,0,1,0,2024-04-17 10:13:58.026862
zero_shot_prompt,0.4,2,-1.0,2,0,0,2024-04-17 10:14:08.860248
zero_shot_prompt,0.4,2,-1.0,2,0,0,2024-04-17 10:14:19.410495
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-17 10:14:25.257187
zero_shot_prompt,0.4,1,-1.0,0,1,0,2024-04-17 10:14:30.418912
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-17 10:14:35.348480
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-17 10:14:39.872060
zero_shot_prompt,0.4,2,-1.0,1,1,0,2024-04-17 10:14:48.989291
zero_shot_prompt,0.4,3,-1.0,3,0,0,2024-04-17 10:15:01.457943
zero_shot_prompt,0.4,1,-1.0,0,1,0,2024-04-17 10:15:06.787173
zero_shot_prompt,0.4,3,-1.0,3,0,0,2024-04-17 10:15:17.077730
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-17 10:15:22.104067
zero_shot_prompt,0.4,1,1.0,0,1,0,2024-04-17 10:15:27.779603
zero_shot_prompt,0.4,2,-1.0,2,0,0,2024-04-17 10:15:36.546530
zero_shot_prompt,0.7,3,-1.0,3,0,0,2024-04-17 10:15:50.821519
zero_shot_prompt,0.7,2,1.0,1,1,0,2024-04-17 10:16:02.292318
zero_shot_prompt,0.7,1,1.0,0,1,0,2024-04-17 10:16:05.791499
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-17 10:16:10.206060
zero_shot_prompt,0.7,2,-1.0,1,1,0,2024-04-17 10:16:18.010508
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-17 10:16:27.196462
zero_shot_prompt,0.7,2,1.0,1,1,0,2024-04-17 10:16:36.409989
zero_shot_prompt,0.7,1,-1.0,0,0,1,2024-04-17 10:16:41.364517
zero_shot_prompt,0.7,3,-1.0,3,0,0,2024-04-17 10:16:51.621214
zero_shot_prompt,0.7,1,-1.0,0,1,0,2024-04-17 10:16:56.407826
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-17 10:17:00.430581
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-17 10:17:05.449373
zero_shot_prompt,0.7,2,1.0,1,1,0,2024-04-17 10:17:14.435959
zero_shot_prompt,0.7,1,-1.0,0,1,0,2024-04-17 10:17:16.293327
zero_shot_prompt,0.7,1,-1.0,0,1,0,2024-04-17 10:17:19.320458
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-17 10:17:23.683147
zero_shot_prompt,0.7,2,-1.0,1,1,0,2024-04-17 10:17:31.006845
zero_shot_prompt,0.7,2,0.0,1,1,0,2024-04-17 10:17:39.252862
zero_shot_prompt,0.7,3,-1.0,3,0,0,2024-04-17 10:17:54.123650
zero_shot_prompt,0.7,1,1.0,0,1,0,2024-04-17 10:17:57.334400
zero_shot_prompt,0.7,1,-1.0,0,1,0,2024-04-17 10:18:00.743404
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-17 10:18:06.656364
zero_shot_prompt,0.7,1,-1.0,0,1,0,2024-04-17 10:18:10.271879
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-17 10:18:15.231578
zero_shot_prompt,0.7,3,-1.0,3,0,0,2024-04-17 10:18:23.424665
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-17 10:18:30.955916
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-17 10:18:38.197088
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-17 10:18:43.965326
zero_shot_prompt,0.7,1,-1.0,0,1,0,2024-04-17 10:18:46.854758
zero_shot_prompt,0.7,1,-1.0,0,1,0,2024-04-17 10:18:50.668498
zero_shot_prompt,0.7,3,-1.0,3,0,0,2024-04-17 10:19:05.211234
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-17 10:19:13.865776
zero_shot_prompt,0.7,3,-1.0,3,0,0,2024-04-17 10:19:24.796243
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-17 10:19:29.738847
zero_shot_prompt,0.7,3,-1.0,3,0,0,2024-04-17 10:19:43.740412
zero_shot_prompt,0.7,1,1.0,0,1,0,2024-04-17 10:19:46.940117
zero_shot_prompt,0.7,1,1.0,0,1,0,2024-04-17 10:19:51.607815
zero_shot_prompt,0.7,1,1.0,0,1,0,2024-04-17 10:19:54.598994
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-17 10:19:57.608786
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-17 10:20:02.072843
zero_shot_prompt,0.7,1,1.0,0,1,0,2024-04-17 10:20:06.526748
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-17 10:20:11.494557
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-17 10:20:19.266426
zero_shot_prompt,0.7,3,-1.0,3,0,0,2024-04-17 10:20:28.643549
zero_shot_prompt,0.7,1,-1.0,0,1,0,2024-04-17 10:20:30.946295
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-17 10:20:35.524232
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-17 10:20:41.890735
zero_shot_prompt,0.7,1,-1.0,0,1,0,2024-04-17 10:20:46.346863
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-17 10:20:51.559666
zero_shot_prompt,0.7,3,-1.0,3,0,0,2024-04-17 10:21:05.850423
zero_shot_prompt,0.7,3,-1.0,3,0,0,2024-04-17 10:21:15.333298
zero_shot_prompt,0.7,1,-1.0,0,1,0,2024-04-17 10:21:21.127400
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-17 10:21:31.395329
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-17 10:21:35.907907
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-17 10:21:42.047222
zero_shot_prompt,0.7,4,-1.0,4,0,0,2024-04-17 10:21:59.425756
zero_shot_prompt,0.7,1,-1.0,0,1,0,2024-04-17 10:22:01.862063
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-17 10:22:03.764857
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-17 10:22:08.687890
zero_shot_prompt,0.7,2,1.0,1,1,0,2024-04-17 10:22:15.572516
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-17 10:22:17.390648
zero_shot_prompt,0.7,5,-1.0,5,0,0,2024-04-17 10:22:37.949609
zero_shot_prompt,0.7,2,-1.0,1,1,0,2024-04-17 10:22:46.096109
zero_shot_prompt,0.7,1,0.0,0,1,0,2024-04-17 10:22:49.743632
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-17 10:22:58.684183
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-17 10:23:05.640124
zero_shot_prompt,0.7,2,1.0,1,1,0,2024-04-17 10:23:13.641192
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-17 10:23:17.370012
zero_shot_prompt,0.7,1,1.0,0,1,0,2024-04-17 10:23:21.468426
zero_shot_prompt,0.7,3,1.0,2,1,0,2024-04-17 10:23:36.153353
zero_shot_prompt,0.7,2,-1.0,1,1,0,2024-04-17 10:23:44.776380
zero_shot_prompt,0.7,1,1.0,0,1,0,2024-04-17 10:23:49.784067
zero_shot_prompt,0.7,2,-1.0,1,1,0,2024-04-17 10:23:58.431889
zero_shot_prompt,0.7,1,1.0,0,1,0,2024-04-17 10:24:01.486033
zero_shot_prompt,0.7,2,1.0,1,1,0,2024-04-17 10:24:04.117554
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-17 10:24:09.978132
zero_shot_prompt,0.7,4,0.0,3,1,0,2024-04-17 10:24:19.342233
zero_shot_prompt,0.7,2,0.0,1,1,0,2024-04-17 10:24:27.911427
zero_shot_prompt,0.7,1,-1.0,0,1,0,2024-04-17 10:24:33.254533
zero_shot_prompt,0.7,2,-1.0,1,1,0,2024-04-17 10:24:40.769107
zero_shot_prompt,0.7,1,1.0,0,1,0,2024-04-17 10:24:45.841246
zero_shot_prompt,0.7,1,-1.0,0,1,0,2024-04-17 10:24:51.852631
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-17 10:24:56.242019
zero_shot_prompt,0.7,2,0.0,1,1,0,2024-04-17 10:25:06.678053
zero_shot_prompt,0.7,2,-1.0,1,1,0,2024-04-17 10:25:15.774713
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-17 10:25:19.877059
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-17 10:25:26.496584
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-17 10:25:29.115855
zero_shot_prompt,0.7,2,-1.0,1,1,0,2024-04-17 10:25:39.435043
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-17 10:25:47.194133
zero_shot_prompt,0.7,1,1.0,0,1,0,2024-04-17 10:25:52.672609
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-17 10:25:55.655932
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-17 10:25:59.224771
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-17 10:26:07.827741
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-17 10:26:10.813633
zero_shot_prompt,0.7,1,-1.0,0,1,0,2024-04-17 10:26:13.317586
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-17 10:26:18.765900
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-17 10:26:26.480961
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-17 10:26:35.163334
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-17 10:26:42.545042
zero_shot_prompt,1,2,-1.0,1,1,0,2024-04-17 10:26:49.875316
zero_shot_prompt,1,1,-1.0,1,0,0,2024-04-17 10:26:54.866263
zero_shot_prompt,1,1,-1.0,1,0,0,2024-04-17 10:26:58.332695
zero_shot_prompt,1,1,-1.0,0,1,0,2024-04-17 10:27:03.481031
zero_shot_prompt,1,2,-1.0,2,0,0,2024-04-17 10:27:10.631244
zero_shot_prompt,1,1,-1.0,0,1,0,2024-04-17 10:27:16.003461
zero_shot_prompt,1,2,-1.0,1,1,0,2024-04-17 10:27:22.377385
zero_shot_prompt,1,2,1.0,1,1,0,2024-04-17 10:27:31.868411
zero_shot_prompt,1,1,-1.0,1,0,0,2024-04-17 10:27:37.519022
zero_shot_prompt,1,2,-1.0,1,1,0,2024-04-17 10:27:47.572552
zero_shot_prompt,1,2,1.0,1,1,0,2024-04-17 10:27:56.361934
zero_shot_prompt,1,2,1.0,1,1,0,2024-04-17 10:28:03.223047
zero_shot_prompt,1,2,-1.0,1,1,0,2024-04-17 10:28:10.619870
zero_shot_prompt,1,1,-1.0,1,0,0,2024-04-17 10:28:16.193269
zero_shot_prompt,1,2,-1.0,2,0,0,2024-04-17 10:28:26.406622
zero_shot_prompt,1,4,1.0,3,1,0,2024-04-17 10:28:43.482533
zero_shot_prompt,1,1,-1.0,1,0,0,2024-04-17 10:28:48.275504
zero_shot_prompt,1,3,-1.0,3,0,0,2024-04-17 10:29:03.019337
zero_shot_prompt,1,1,1.0,0,1,0,2024-04-17 10:29:08.721534
zero_shot_prompt,1,1,1.0,0,1,0,2024-04-17 10:29:14.668307
zero_shot_prompt,1,1,-1.0,1,0,0,2024-04-17 10:29:19.852240
zero_shot_prompt,1,2,1.0,1,1,0,2024-04-17 10:29:26.120134
zero_shot_prompt,1,3,-1.0,3,0,0,2024-04-17 10:29:37.030518
zero_shot_prompt,1,2,-1.0,2,0,0,2024-04-17 10:29:47.262992
zero_shot_prompt,1,2,-1.0,2,0,0,2024-04-17 10:29:47.728100
